City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,lishu,43.3047,124.3278,-5.98,58,0,1.74,CN,1667517055
184,teya,60.3778,92.6267,-3.77,98,100,0.66,RU,1667517056
185,qasigiannguit,68.8193,-51.1922,-1.86,69,88,2.94,GL,1667517056
186,omsukchan,62.5333,155.8,-19.37,100,98,0.99,RU,1667517057
187,hearst,49.6835,-83.6665,12.33,79,97,4.93,CA,1667517057
188,avarua,-21.2078,-159.775,25.03,69,20,7.2,CK,1667517058
189,talara,-4.5772,-81.2719,18.42,77,40,6.69,PE,1667517058
190,hasaki,35.7333,140.8333,17.34,55,100,2.36,JP,1667516461
191,sitka,57.0531,-135.33,7.94,61,75,6.17,US,1667517000
192,kyabe,9.4515,18.9449,23.38,40,100,2.35,TD,1667517060
193,nuevo progreso,23.1667,-97.95,28.08,61,78,2.24,MX,1667517060
194,matehuala,23.65,-100.65,26.25,19,10,3.88,MX,1667517061
195,coihaique,-45.5752,-72.0662,25.97,36,0,3.09,CL,1667517001
196,vengerovo,55.6848,76.7471,0.61,84,99,3.76,RU,1667517062
197,neepawa,50.2289,-99.4664,0.82,44,100,5.79,CA,1667517063
198,limbuhan,11.8838,124.0501,27.5,85,48,6.34,PH,1667517063
199,puerto colombia,10.9878,-74.9547,27.46,78,100,1.99,CO,1667517064
200,yatou,37.15,122.3833,6.12,60,9,4.69,CN,1667517064
201,kalagarh,29.5,78.75,17.77,72,0,1.4,IN,1667517065
202,nome,64.5011,-165.4064,-8.61,88,63,3.73,US,1667516348
203,caruray,10.3094,119.0128,26.84,86,70,2.94,PH,1667517066
204,amursk,50.2261,136.8994,-2.49,58,99,5.75,RU,1667517066
205,axim,4.8699,-2.2405,25.97,85,88,2.78,GH,1667517067
206,bluff,-46.6,168.3333,11.6,68,70,15.22,NZ,1667517067
207,labuhan,-6.8844,112.2051,26.32,85,95,3.03,ID,1667517068
208,arraial do cabo,-22.9661,-42.0278,20.06,62,100,6.27,BR,1667517068
209,eureka,40.8021,-124.1637,13.44,81,26,1.79,US,1667517069
210,mehamn,71.0357,27.8492,6.97,76,0,6.17,NO,1667516534
211,san jeronimo,-11.9472,-75.2829,14.11,66,25,4.32,PE,1667517070
212,ereymentau,51.6199,73.1033,2.02,66,92,4.58,KZ,1667517071
213,san quintin,30.4833,-115.95,16.97,47,10,9.83,MX,1667516776
214,bethel,41.3712,-73.414,14.25,69,0,1.54,US,1667517071
215,nishihara,26.1842,127.7558,23.81,83,75,7.72,JP,1667517072
216,poum,-20.2333,164.0167,26.09,74,3,2.63,NC,1667517073
217,lielvarde,56.7207,24.8074,8.01,89,100,0.37,LV,1667517073
218,cidreira,-30.1811,-50.2056,15.52,75,0,3.75,BR,1667517074
219,skibbereen,51.55,-9.2667,10.06,84,60,4.78,IE,1667517075
220,hinton,53.4001,-117.5857,-0.93,49,100,4.19,CA,1667517076
221,kavieng,-2.5744,150.7967,28.86,69,88,0.75,PG,1667517077
222,magadan,59.5667,150.8,-2.48,93,100,10.79,RU,1667517079
223,east london,-33.0153,27.9116,19.72,83,96,7.4,ZA,1667517080
224,saint anthony,45.0205,-93.218,18.07,76,100,5.14,US,1667516417
225,talnakh,69.4865,88.3972,-8.77,95,100,4.02,RU,1667517080
226,oktyabrskiy,54.4815,53.471,-6.5,97,42,1.76,RU,1667517081
227,kangaatsiaq,68.3065,-53.4641,-5.83,76,100,4.49,GL,1667517082
228,altos,-5.0381,-42.46,27.17,63,98,1.73,BR,1667517082
229,bubaque,11.2833,-15.8333,28.7,70,88,3.92,GW,1667517083
230,college,64.8569,-147.8028,-9.68,83,100,3.6,US,1667516796
231,port moresby,-9.4431,147.1797,28.76,63,99,1.22,PG,1667517083
232,baijiantan,45.6333,85.1833,7.44,57,49,2.76,CN,1667517084
233,andrews,32.3187,-102.5457,27.22,47,0,6.69,US,1667517007
234,usinsk,65.9939,57.5281,-13.03,81,3,2.91,RU,1667517085
235,hambantota,6.1241,81.1185,25.17,83,100,3.48,LK,1667517086
236,tezu,27.9167,96.1667,16.79,46,13,2.19,IN,1667517087
237,riyadh,24.6877,46.7219,21.08,75,62,5.66,SA,1667516974
238,pochutla,15.7432,-96.4661,29.34,79,34,2.09,MX,1667517088
239,la seyne-sur-mer,43.0982,5.8847,17.97,78,77,11.34,FR,1667517088
240,emerald,-23.5333,148.1667,21.3,43,0,5.36,AU,1667517067
241,pisco,-13.7,-76.2167,18.03,77,0,6.69,PE,1667517089
242,jizan,17.3333,42.6667,28.57,68,7,1.58,SA,1667517090
